fb_RwalMSc8	You're trapped without even knowing it: Google's massive counterattack | Show Me the Yeonsur	NA
jKmon8qvOsM	The Inside Story and Reality of the AI ​​War, from Silicon Valley | Ian Silicon Valley VC	NA
3y8eXuCO7zI	충격적인 전 국민 주식 계좌 1억 개 돌파 기록, 역대급 돈잔치 증권주ㅣ김수정 미래에셋자산운용 본부장	NA
xBfzi_R28Qg	The End of Iran's 47-Year Regime: Investment Hints from This Operation	NA
z575t98cRVg	There's a strange rumor going around in the stock market. Let me tell you what I think.	NA
aT080VvHtxs	The US is determined to overthrow the Iranian regime! What will this situation mean for the stock...	NA
v1QyMHOVH5g	A Crucial Reason to Consider Gas Turbines Now | Kim Hyo-sik, Team Leader, Samsung Active Asset Ma...	NA
ODBc8vWNWOw	Power Orders Full by 2029... AI Power Beneficiary Map | Kim Hyo-sik, Team Leader, Samsung Active ...	NA
RkB2JrWi_fc	AI warfare, seen through the lens of the Three Kingdoms: Which company will unify the world?	NA
hg3cdm_t0VA	800조 잭팟 터질 조선주 탑픽 바로 공개합니다ㅣ한승한 SK증권 연구원 [2부]	NA
gLpW0412A9o	호르무즈 해협 봉쇄 위기 한국 배 없으면 전 세계는 굶어 죽습니다ㅣ한승한 SK증권 연구원 [1부]	NA
IjYr0FrINis	[Breaking News] It looks like AI's fate will finally be decided tonight.	NA
ZXuQCpuVCYc	국장 뜨겁다 뜨거워! 고공행진 코스피 ETF는 그냥 이거 사세요	NA
xGIPAhDXYtI	There are stocks that stand to benefit directly from the NVIDIA ecosystem [Z1 News]	NA
bmXgryWXNrw	For those of you who don't have Hynix or are considering buying more, I have some straightforward...	NA
fDZnPoK5lyc	Here are four shocking stocks that will follow semiconductors in a big way.	NA
tSXkj2Omz34	[Breaking News] KOSPI Breaks 6,000... 7,900 Rationale Revealed	NA
B5owNUs_DFw	Buying Software Stocks Now Will Mean You're Losing Money: The Secret Behind the Korean ETFs Hedge...	NA
DPTMWEBIQs0	The shocking reason why human desire is driving AI development out of control.	NA
CmlEhB-lrDY	[Breaking News] Shocking tariff invalidation ruling! Which stocks will benefit and which will be ...	NA
yJp65cYs0hs	머스크가 한국 엔지니어를 찾는 진짜 이유	NA
BL7cqIOpo7w	[Breaking News] 13F has appeared, but the content is unusual.	NA
DkpEe-yhOmU	I'll cover all the sectors for you. Completely master the basics of AI data centers.	NA
rkqAGRtX77Y	왕초보를 위한 주식 기초용어 총정리	NA
SZW2GeQycnM	Sorry to start off by saying this, but you absolutely must see this video.	NA
HNKwPb2xMM0	The KOSPI hit a record high despite disappointing U.S. employment figures. [Z1 News]	NA
L75m-nItlCs	Companies that have started growing without humans... It's truly shocking.	NA
0fQVXlQ3yxk	Ray Dalio's shocking statement: "A civil war isn't just someone else's story."	NA
zOZHOraqANc	[Breaking News] Something big might happen in the US tonight. I'm really nervous.	NA
ZT-_lQyU1iw	A structure is being created where high earners are cut first.	NA
V8_rxpWbR6I	The real reason the foreign director left wasn't because of Korea.	NA
censVYCGPss	Are you thinking of selling Samsung or Hankook? After watching this special lecture, you'll be ab...	NA
VNLUEwfneI4	트럼프 행정부가 내린 구국의 결단, 상상도 못한 역대급 돈풀기가 시작됩니다ㅣ성상현 중소기업중앙회 부부장	NA
r58yKLu4e10	Shocking! Google's 200 Trillion Won Investment Plan: A New World for AI [Together]	NA
PBH0rkYT4bw	Palantir's collapse despite record earnings: Are software companies headed for a downfall? [Z1 News]	NA
HYv3lidgwew	[Breaking News] Palantir's stock price plummeted despite these earnings??? I couldn't sleep and w...	NA
0RGdmYWlA10	We found the beneficiary of the Maltbot	NA
WRFAnh-CpyI	The Korean stock market is insanely volatile. If you don't understand this, your account will be ...	NA
M5AM7fqcQgM	The ultimate AI winner is bound to be Google | Show Me the Yeonsur	NA
i8t5ieFTjJQ	Samsung Electronics -6%, Hynix -8%. You should take a longer-term view. Monthly Asin January issu...	NA
jTn2fq1KP1M	The Fall of the Funeral Home	NA
eo1BeU4clZA	The current situation is not at all about nationalism. The data proves it.	NA
-SmVVpM5Yxc	The KOSPI 5300 Era: If You Don't See It Now, It's Too Late | Nam Eun-young, Team Leader, Samsung ...	NA
MGVRipi_ox0	Focus for just 30 minutes and we'll make you an ETF expert!	NA
J45rNchessc	Shocking AI: The emergence of the world's most advanced AI! Office jobs are at risk | Kim Dante	NA
_JzqsnIVal0	Should I Buy Gold Now? | Cho Yoon-nam, CEO of Core16 [Part 2]	NA
pL78JCPSuZU	[Breaking News] Bitcoin's Unusual Drop: Those Contemplating Selling Should Take Note	NA
EZZTQMPPmvQ	KOSDAQ 3,000? Should I buy now?	NA
UFu1L612dWk	[Replay] Investment Strategy for February 2026 (Filmed on January 29th)	NA
Pg7qp1dI3hc	Gold and silver reacted first...What are the market signals? [Z1 News Part 2]	NA
qVzK9Q0FtRY	Gold and silver reacted first...What are the market signals? [Z1 News Part 2]	NA
ZQvycByFJxo	"Ants Never Know": The Decisive Trigger of a Bear Cycle | Cho Yoon-nam, CEO of Core16 [Part 1]	NA
mniPQ1bjTnM	[Breaking News] The shocking incident that angered Powell to the core! The actions of two Fed mem...	NA
CxoGPE19MTY	How far will Hynix's meteoric rise, surpassing even Samsung Electronics and TSMC in operating pro...	NA
cqch49U4pUk	The Memory Shortage Changes the Landscape: Samsung Electronics and Hynix's Timeline ⎮ Monthly Asi...	NA
Ma1xYfQru48	Memory is key in the AI ​​era. It's clear why we need to focus on Samsung and Hynix. (Monthly Asi...	NA
vM3obFaoLOs	There's something more important than the enemy: The real variable in the Samsung-Hynix conferenc...	NA
gpoeCuZSq-I	[Breaking News] January FOMC Preview! Why Powell's Departure and the New "Top" Are Positive for B...	NA
dMHcAAsl8TE	For those worried about not having stocks, please don't worry | CEO Jongtae Oh [Full Video]	NA
VbfIRlRYvfs	For those worried about not having stocks, please don't worry | CEO Jongtae Oh [Full Video]	NA
-HoObRzr8Qk	"It's rising faster than Nvidia." The company that dominates this market is monopolizing it. Show...	NA
5E9WeDtz0vY	"M7 is over." The next stock to rise tenfold is 'this' [Moraguhyo]	NA
_n2jba7SPV8	[Review] "The World Order We Know Is Over": A New Formula for Survival in a New Era	NA
Eq5FO11BByQ	"A heartbreaking story": The reality of autonomous driving, as proven by insurance companies, and...	NA
QrK7wOVhr3A	You need to invest in China now. The key is to use a different "method." | CEO Oh Jong-tae [Part 3]	NA
TDn3GBQ7G80	It's not a stock anymore, it's a "rule." Understanding this is key to making money | CEO Oh Jong-...	NA
TAj_PG1Aobw	주린이 탈출시켜 드립니다! 100분으로 끝내는 주식 기초! 총정리	NA
u7zcFycawUw	Additional KOSPI buying? It's entirely possible. We'll reveal the obvious reasons | CEO Oh Jong-t...	NA
LoLo2dd9gb8	Will OpenAI go bankrupt in 18 months? The reality of the AI ​​empire, which has exhausted 60 tril...	NA
xdkzfFYfIII	[Review Effect] "The News You Know Is Just Crumbs": The Real Speed ​​of the AI ​​Revolution, Know...	NA
MKZCZbtvvN4	What Korean stocks will support my retirement after the KOSPI reaches 5,000? [Z1 News Part 1]	NA
xTLZBuMiTbo	[Breaking News] KOSPI finally reaches 5,000! I have something I really want to say.	NA
3V0Ybciv8Ik	[Breaking News] What impact will Trump's Greenland tariff threat have on financial markets?	NA
MnVaaXjPsxY	The HBM War's End Changes... Samsung's Hidden Weapon Finally Revealed | Professor Kim Hak-ju [Ful...	NA
kEj4G8mUPkY	Now AI does all the annoying work: From booking to comparing to organizing, the terrifying evolut...	NA
92CJ1SuK_qk	AI wasn't a technology, it was politics… A war over money.	NA
XJAtUWSOZQE	Novice investors who come to the news about the fire market should not know this or their investm...	NA
EI3pEqeO43M	[Breaking News] The next Fed Chairman, a dove, has been eliminated! Who is Kevin Warth, the new f...	NA
