fb_RwalMSc8	You're trapped without even knowing it: Google's massive counterattack | Show Me the Yeonsur	구글
xGIPAhDXYtI	There are stocks that stand to benefit directly from the NVIDIA ecosystem [Z1 News]	엔비디아
r58yKLu4e10	Shocking! Google's 200 Trillion Won Investment Plan: A New World for AI [Together]	구글
PBH0rkYT4bw	Palantir's collapse despite record earnings: Are software companies headed for a downfall? [Z1 News]	팔란티어
HYv3lidgwew	[Breaking News] Palantir's stock price plummeted despite these earnings??? I couldn't sleep and w...	팔란티어
M5AM7fqcQgM	The ultimate AI winner is bound to be Google | Show Me the Yeonsur	구글
CxoGPE19MTY	How far will Hynix's meteoric rise, surpassing even Samsung Electronics and TSMC in operating pro...	TSMC
wf7MJrKGQIc	The End of Tesla's Monopoly? The Prelude to Nvidia's Counterattack | Show Me the Yeonsur	테슬라
PVER-RRv86o	The Beginning of a Turnaround for Hyundai, Said to Be Over... The Shocking Reason NVIDIA Is Pushi...	엔비디아
F9psUuxdIrk	The AI ​​war continues in the new year! NVIDIA's $28 trillion bet | Show Me the Yeonsur	엔비디아
pA4wxnzy4lI	We asked Tesla employees directly why they are shunning FSD. Former Tesla engineer Maeng Seong-jun	테슬라
c_w0qjj830U	The Oracle-Broadcom Shock: It Wasn't AI That Was Broken, It Was This That Was the Problem ⎮ Month...	브로드컴
Iv6bnsubPBA	"US Soldiers' Hearts Stopped"... Trump's Emergency Call to Palantir Reveals the Real Crisis Hidde...	팔란티어
j0Civ2n9DTA	Tesla Rekindles the "21st Century American Dream" [Sparkling Investment Club]	테슬라
Lw4cr7X6a_A	"AI Wars? You guys should handle that amongst yourselves." The shocking reason Apple is just watc...	애플
7_Y-3PT1NVg	What I wanted to tell my daughter after riding the Tesla FSD for the first time	테슬라
qA24EGvIGAM	"지우개로~ 기억을 지울 수만 있다면~"ㅣ이효석아카데미 오리지날 박성진 대표 [버핏 2부]	버핏
ZcsZNz7Aa3c	Google's Alphabet is soaring! Should you buy now? Here's my thoughts | Week 4 of November, Z1 News	구글
eB7WII1-hM8	Tesla's FSD will change the world faster than electric vehicles | Dr. Kang Jeong-su, Blue Dot AI ...	테슬라
yRvwSM53_pE	Warren Buffett's Last Bet: Google! | Weekend Briefing	구글
MvoxNnRNEyU	What Tesla Doesn't Have but Waymo Has | Jung Joo-yong, CEO of Gravity Ventures [Part 1]	테슬라
_HmNPUPiFjw	Elon Musk vs. Sam Altman: Who Will Become the AI ​​King? | Former Tesla Engineer Maeng Seong-jun	테슬라
nAYpInLkvng	Samsung's Real Secret Weapon to Take Down TSMC - Monthly Asin, November 3rd Issue [IT God CEO Lee...	TSMC
gsFKoy3Cacc	1조 달러 받게 된 일론 머스크 바로 옆에서 보면 이렇습니다ㅣ맹성준 전 테슬라 엔지니어 [풀영상]	테슬라
WdKZvVrHGJc	Tesla and Elon Musk's $1 Trillion Compensation Plan! Why Elon Musk Must Accept It | Z1 News, Week...	테슬라
Cc6WfQnRSB4	[Breaking News] "This Time It's an AI Bubble": Betting Fully on Palantir Stock Price Decline	팔란티어
nU0Wf_ylXmE	[Breaking News] Berkshire's record-breaking cash holdings fuel the growing AI bubble debate.	버핏
vpZVprALMj4	Silicon Valley's Biggest Issues, Little Known in Korea | Former Tesla Engineer Maeng Seong-jun [P...	테슬라
E0GrkSQ9DrM	팔란티어를 넘어서는 AI기업은 나올 수가 없어요ㅣ변우철 KT 본부장 [풀영상]	팔란티어
_g7RqdBZo-g	"The Age of Electric Vehicles Has Arrived" Is Thoroughly False | Former Tesla Engineer Maeng Seon...	테슬라
wtljK6dILCM	Why I Trembled Working for Musk | Former Tesla Engineer Maeng Seong-jun [Part 1]	테슬라
