타입,시간,제목,출처,중요도,URL
news,17:01,‘빅테크 독주’ 장세 언제까지?…‘중소형주 붐’ 언제쯤 올까,네이버증권,0.6,https://finance.naver.com/news/news_read.naver?article_id=0005639440&office_id=009&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,"""코스닥이었으면 불성실공시법인""…유증 납입 또 미룬 금양 [종목+]",네이버증권,0.7,https://finance.naver.com/news/news_read.naver?article_id=0005253007&office_id=015&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,"배터리전쟁 승패, 핵심광물·기술 확보에 달렸다[기고]",네이버증권,0.6,https://finance.naver.com/news/news_read.naver?article_id=0006221515&office_id=018&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,코스피 5800 찍자…여기 투자한 투자자들 '울상',네이버증권,0.7999999999999999,https://finance.naver.com/news/news_read.naver?article_id=0005253009&office_id=015&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,'95만닉스' 사상 최고가 찍었다…블랙록도 지분 5% 신고,네이버증권,0.6,https://finance.naver.com/news/news_read.naver?article_id=0005253010&office_id=015&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,엔비디아 팔고 쓸어담았다…'수익률 22%' 대박 터진 종목 [맹진규의 글로벌 머니플로우],네이버증권,0.6,https://finance.naver.com/news/news_read.naver?article_id=0005253021&office_id=015&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,"대어급 줄대기…IPO 흥행, 상반기 공모시장 온기 가른다",네이버증권,0.7,https://finance.naver.com/news/news_read.naver?article_id=0000093356&office_id=243&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,"조·방·원이 끌고 ’95만닉스’가 밀었다…코스피, 5700·5800 돌파[마켓뷰]",네이버증권,0.7,https://finance.naver.com/news/news_read.naver?article_id=0001143394&office_id=366&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,"[속보] 코스피, 첫 5800선 마감…'육천피' 얼마 안 남았다",네이버증권,0.7,https://finance.naver.com/news/news_read.naver?article_id=0005253025&office_id=015&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,"""美기술주 대안 찾자""…투자자들, 유럽 증시로 '우루루'",네이버증권,0.7,https://finance.naver.com/news/news_read.naver?article_id=0006221551&office_id=018&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,'92만닉스' 세계 최대 자산운용사도 'PICK'…SK하닉 3640만주 담았다,네이버증권,0.6,https://finance.naver.com/news/news_read.naver?article_id=0000093358&office_id=243&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,"코스피, 5800선 첫 돌파… 증권가 ""내주 '육천피' 간다""",네이버증권,0.7,https://finance.naver.com/news/news_read.naver?article_id=0000915362&office_id=469&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,"""꺾이지 않는 기세"" 코스피 3.3%만 오르면 '6000피'[마감]",네이버증권,0.7,https://finance.naver.com/news/news_read.naver?article_id=0006221558&office_id=018&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,사상 최고가 美 방산주…군비확장 흐름 속 이란 이슈에 ‘빅사이클’ 기대감,네이버증권,0.6,https://finance.naver.com/news/news_read.naver?article_id=0005253045&office_id=015&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,'악재가 호재로'…美·이란 드리운 '전운' 방산·정유 날았다,네이버증권,0.6,https://finance.naver.com/news/news_read.naver?article_id=0008783581&office_id=421&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,"""공격적으로는 5%까지 담는다…크립토ETF 5년후 급물살"" [미다스의 손]",네이버증권,0.6,https://finance.naver.com/news/news_read.naver?article_id=0001242437&office_id=215&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,5800선 뚫어버린 코스피…‘6000피’ 코앞 다가왔다 [마켓시그널],네이버증권,0.7,https://finance.naver.com/news/news_read.naver?article_id=0004591747&office_id=011&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,계좌에 삼성전자·하이닉스 없으면 ‘포모’ 극심… 코스피 시총의 40% 차지,네이버증권,0.9,https://finance.naver.com/news/news_read.naver?article_id=0001143415&office_id=366&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,“삼천닥은 ‘이곳’이 이끄나”…이차전지株 ‘관심’ 기관·외인,네이버증권,0.6,https://finance.naver.com/news/news_read.naver?article_id=0005480402&office_id=014&mode=mainnews&type=&date=2026-02-20&page=1
news,17:01,"""5800피 여전히 싸다"" 이제 목표는 7000피…""이 업종들 주목""",네이버증권,0.6,https://finance.naver.com/news/news_read.naver?article_id=0005320124&office_id=008&mode=mainnews&type=&date=2026-02-20&page=1
filing,16:54,코리아에셋투자증권,분기보고서 (2025.12),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260219001741
filing,16:54,금비,분기보고서 (2025.12),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260219001813
filing,16:54,효성오앤비,반기보고서 (2025.12),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260219002126
filing,16:54,SNT다이내믹스,사업보고서 (2025.12),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260219002133
filing,16:54,SNT모티브,사업보고서 (2025.12),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260219002256
filing,16:54,유비온,분기보고서 (2025.12),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260219002376
filing,16:54,SNT에너지,사업보고서 (2025.12),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260219002453
filing,16:54,SNT홀딩스,사업보고서 (2025.12),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260219002462
filing,16:54,만호제강,반기보고서 (2025.12),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260219002720
filing,16:54,티맥스소프트,사업보고서 (2025.12),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260220000679
