TMPV1,TMPV2,TMPV3,TMPV4,TMPV5,TMPV6,TMPV7,TMPV8,TMPV9,date
20150102,506006704,253360383,252646321,971986,734620,237366,0,916089969,2015-01-02
20150105,505990014,253474378,252515636,980220,710752,269468,0,918078926,2015-01-05
20150106,507654497,254446251,253208246,1015190,724312,290878,0,918978125,2015-01-06
20150107,509680824,254122313,255558512,1066213,758123,308091,0,919374408,2015-01-07
20150108,513916208,256402408,257513800,1024464,699912,324552,0,922084205,2015-01-08
20150109,517014917,258110016,258904901,1112148,762581,349567,0,922835904,2015-01-09
20150112,519540695,258562297,260978399,1284531,928612,355920,0,923498201,2015-01-12
20150113,521550713,256358327,265192386,1356904,973076,383828,0,923498766,2015-01-13
20150114,523854913,255960809,267894104,1385368,985214,400154,0,926077047,2015-01-14
20150115,528007664,258239171,269768493,1279292,876476,402817,0,932962016,2015-01-15
20150116,530845894,260836837,270009057,1296255,865513,430742,0,932382259,2015-01-16
20150119,532805374,261285769,271519605,1334764,903787,430977,0,932532624,2015-01-19
20150120,535960376,263610389,272349987,1193954,753021,440933,0,934874167,2015-01-20
20150121,537250051,263158143,274091908,1209378,764684,444694,0,932328769,2015-01-21
20150122,540203860,263151566,277052294,1208176,770363,437814,0,929887055,2015-01-22
20150123,542688833,264036450,278652383,1361265,863424,497840,0,930893290,2015-01-23
20150126,542038252,263233832,278804420,1289027,825906,463120,0,936969309,2015-01-26
20150127,541060215,261582885,279477331,1294594,807735,486859,0,936608344,2015-01-27
20150128,545420817,263479831,281940986,1374701,872640,502061,0,937015613,2015-01-28
20150129,546291793,262703463,283588330,1432315,949131,483183,0,939152725,2015-01-29
20150130,550015582,264511134,285504448,1426679,947260,479418,0,940265422,2015-01-30
20150202,556604359,267165278,289439081,1354400,893115,461284,0,943627455,2015-02-02
20150203,559569580,269877767,289691813,1319861,867588,452274,0,946704320,2015-02-03
20150204,561279543,270382062,290897481,1276951,836495,440456,0,943688484,2015-02-04
20150205,564040096,270911513,293128583,1312698,840855,471843,0,944353877,2015-02-05
20150206,566017943,269451778,296566165,1421379,905742,515637,0,942871768,2015-02-06
20150209,571930481,272796407,299134074,1363324,817379,545945,0,942386238,2015-02-09
20150210,575874535,276197885,299676650,1315433,778049,537384,0,944720058,2015-02-10
20150211,576430692,275943682,300487010,1353324,837945,515379,0,947064104,2015-02-11
20150212,575502203,276395697,299106505,1311087,814681,496406,0,948504680,2015-02-12
20150213,576128915,275897417,300231499,1264088,808561,455527,0,947387101,2015-02-13
20150216,576434106,276230569,300203537,1254894,776921,477973,0,950199369,2015-02-16
20150217,574455350,273529132,300926217,1284849,817955,466894,0,945798746,2015-02-17
20150223,575166837,273582599,301584238,1234461,773465,460997,0,947215858,2015-02-23
20150224,573921130,272966758,300954372,1201499,760770,440728,0,946358936,2015-02-24
20150225,576072898,271853816,304219082,1157023,721688,435335,0,949822767,2015-02-25
20150226,578704909,272519711,306185198,1223573,771354,452219,0,960962773,2015-02-26
20150227,581168076,272247458,308920618,1216809,770472,446337,0,965534085,2015-02-27
20150302,582011141,271053871,310957270,1202254,815136,387118,0,966058721,2015-03-02
20150303,586682127,273549649,313132478,1212680,814713,397967,0,966302481,2015-03-03
20150304,591625179,277518789,314106390,1252369,859540,392830,0,968173266,2015-03-04
20150305,596401206,279427238,316973968,1208752,817250,391502,0,968854209,2015-03-05
20150306,601999733,282860100,319139633,1205477,792559,412919,0,970464717,2015-03-06
20150309,604840089,284824782,320015307,1223916,811703,412213,0,972611518,2015-03-09
20150310,606521123,285572863,320948260,1297205,835448,461757,0,978089534,2015-03-10
20150311,611061027,287942362,323118665,1154645,755379,399267,0,983598511,2015-03-11
20150312,610768918,287085704,323683214,1112739,738803,373935,0,985353830,2015-03-12
20150313,614183893,289782324,324401569,1143796,789508,354288,0,988664176,2015-03-13
20150316,617278955,292014911,325264044,1068379,706463,361916,0,990065914,2015-03-16
20150317,619480866,291338110,328142756,1089340,728485,360854,0,1014247592,2015-03-17
20150318,622455450,292731383,329724067,1102839,730039,372800,0,1021413553,2015-03-18
20150319,624731468,291763816,332967652,1203159,836785,366375,0,991156115,2015-03-19
20150320,628937903,294104231,334833672,1236262,859229,377033,0,992629644,2015-03-20
20150323,631594690,295575294,336019396,1353247,977101,376146,0,995044011,2015-03-23
20150324,635683882,296711691,338972192,1327717,932268,395449,0,994974107,2015-03-24
20150325,636191869,295452812,340739057,1314368,938109,376259,0,998479263,2015-03-25
20150326,638986862,296367179,342619683,1319420,940719,378702,0,1000811845,2015-03-26
20150327,644265438,298012750,346252689,1339691,935811,403880,0,1004237156,2015-03-27
20150330,647118314,299472267,347646048,1261116,899343,361773,0,1004964324,2015-03-30
20150331,648405886,299031680,349374206,1155701,828140,327561,0,1006898860,2015-03-31
20150401,653345847,302457970,350887877,1210768,863618,347150,0,1005515540,2015-04-01
20150402,656858910,304011264,352847645,1250441,906062,344379,0,1005666422,2015-04-02
20150403,661894171,307909565,353984606,1302918,975405,327513,0,1012883587,2015-04-03
20150406,666143405,311438347,354705058,1357040,988983,368057,0,1014740175,2015-04-06
20150407,668737172,312523451,356213721,1422176,1078281,343895,0,1000050504,2015-04-07
20150408,674154394,314744899,359409495,1393418,1061321,332097,0,1000718486,2015-04-08
20150409,677874855,315785393,362089462,1449205,1099392,349813,0,1004453081,2015-04-09
20150410,682736788,318483503,364253285,1599097,1232514,366583,0,1007854144,2015-04-10
20150413,691283179,322860126,368423053,1681591,1259300,422291,0,1013037679,2015-04-13
20150414,697312500,323740680,373571820,1675777,1245923,429854,0,1012209713,2015-04-14
20150415,707656159,329323762,378332397,1694757,1284393,410364,0,1017500288,2015-04-15
20150416,711514453,333242251,378272202,1545417,1166074,379344,0,1019842288,2015-04-16
20150417,718992942,338392671,380600272,1679168,1244767,434401,0,1023323580,2015-04-17
20150420,725487003,340983686,384503317,1747284,1273112,474171,0,1027040242,2015-04-20
20150421,731371065,342987552,388383513,1807645,1289709,517936,0,1029173524,2015-04-21
20150422,740375129,349308702,391066427,1869895,1338093,531802,0,1033234843,2015-04-22
20150423,754102646,359104839,394997807,1821748,1277367,544382,0,1036601085,2015-04-23
20150424,742701128,348228339,394472790,1672587,1212730,459856,0,1032548655,2015-04-24
20150427,744409595,350994705,393414890,1783837,1303744,480093,0,1032333645,2015-04-27
20150428,745647562,350944640,394702922,1766246,1308725,457521,0,1035409805,2015-04-28
20150429,747901779,352686201,395215577,1756533,1298944,457589,0,1041735219,2015-04-29
20150430,746583494,352449952,394133542,1897578,1341619,555959,0,1038556711,2015-04-30
20150504,747121922,354299179,392822742,1944895,1358474,586421,0,1040399583,2015-05-04
20150506,743637802,350740723,392897080,1748526,1237253,511273,0,1039785987,2015-05-06
20150507,743106405,353557755,389548650,1788264,1279554,508711,0,1040897454,2015-05-07
20150508,728400772,345942725,382458046,1660976,1210366,450610,0,1021218247,2015-05-08
20150511,734764729,349869985,384894744,1612340,1169824,442515,0,1039569007,2015-05-11
20150512,737821057,351661577,386159479,1740814,1241941,498873,0,1037383050,2015-05-12
20150513,739992931,352562702,387430229,1860860,1319388,541472,0,1038533301,2015-05-13
20150514,742308728,353735314,388573414,1805496,1260545,544950,0,1042016752,2015-05-14
20150515,744732298,355289051,389443247,1790236,1277080,513156,0,1042965473,2015-05-15
20150518,751320540,357863823,393456718,1821244,1267105,554139,0,1044291335,2015-05-18
20150519,756797723,360958459,395839264,1814473,1174845,639627,0,1048382582,2015-05-19
20150520,757422172,360020378,397401794,1996483,1323331,673151,0,1052166553,2015-05-20
20150521,761901133,363045492,398855641,1990856,1303060,687795,0,1051069020,2015-05-21
20150522,764713896,364517715,400196181,2072889,1380040,692850,0,1050854099,2015-05-22
20150526,767801760,367160537,400641224,2001605,1319637,681968,0,1053736208,2015-05-26
20150527,768336332,366486893,401849439,1976738,1334739,641999,0,1053795230,2015-05-27
20150528,768084771,367907617,400177153,2032156,1397257,634898,0,1055054935,2015-05-28
20150529,767214345,369890572,397323773,1841952,1225441,616512,0,1055107843,2015-05-29
20150601,765630020,369312767,396317253,1834188,1218289,615898,0,1057785862,2015-06-01
20150602,763920805,369459571,394461234,1868829,1221219,647610,0,1059287329,2015-06-02
20150603,763864276,369881540,393982736,1927256,1260765,666490,0,1058875495,2015-06-03
20150604,761113664,369289745,391823919,1886026,1270769,615257,0,1057506036,2015-06-04
20150605,755084434,365945394,389139041,1917466,1308911,608554,0,1056977730,2015-06-05
20150608,754206179,366624016,387582163,1953114,1281974,671140,0,1064346227,2015-06-08
20150609,753580067,365849275,387730792,2005195,1308431,696764,0,1064690900,2015-06-09
20150610,753198443,364972649,388225794,2069981,1360909,709072,0,1068424050,2015-06-10
20150611,756288344,366661151,389627193,2112967,1420150,692817,0,1084481228,2015-06-11
20150612,756791803,368400649,388391153,2027174,1338681,688493,0,1082542420,2015-06-12
20150615,754923285,368224092,386699192,2186174,1472706,713469,0,1071987952,2015-06-15
20150616,750956230,366487210,384469020,2064938,1369300,695638,0,1071704373,2015-06-16
20150617,739957347,362475983,377481363,2005696,1332688,673009,0,1070863634,2015-06-17
20150618,734770165,360481131,374289034,2010279,1361551,648728,0,1077352796,2015-06-18
20150619,735208260,361136595,374071665,2123131,1437705,685426,0,1103806044,2015-06-19
20150622,738228921,361695860,376533062,2280390,1523623,756767,0,1089252308,2015-06-22
20150623,743422377,363832056,379590321,2274005,1553542,720462,0,1091103282,2015-06-23
20150624,747059181,363994403,383064778,2212372,1502151,710220,0,1089771732,2015-06-24
20150625,749446120,363630488,385815632,2260127,1525207,734920,0,1077818939,2015-06-25
20150626,753422246,365856174,387566072,2350486,1579918,770568,0,1080375097,2015-06-26
20150629,758458344,368179418,390278927,2433682,1649515,784167,0,1084296629,2015-06-29
20150630,760832254,369597470,391234784,2310613,1541766,768848,0,1101414986,2015-06-30
20150701,753888292,366375507,387512785,2065953,1420865,645088,0,1099435871,2015-07-01
20150702,754403361,366121752,388281609,2007474,1350933,656540,0,1132982159,2015-07-02
20150703,760094317,368501708,391592609,2195901,1498273,697628,0,1133585924,2015-07-03
20150706,765452221,370942920,394509302,2290054,1566615,723439,0,1095650244,2015-07-06
20150707,770716918,372671663,398045256,2392378,1682997,709381,0,1101814134,2015-07-07
20150708,771262125,373486139,397775986,2200851,1558418,642433,0,1103509751,2015-07-08
20150709,764367737,370825777,393541960,1695353,1238310,457043,0,1142480853,2015-07-09
20150710,760968363,370262253,390706110,1662732,1157516,505216,0,1141329822,2015-07-10
20150713,764384966,372181877,392203089,1693323,1189318,504005,0,1102061519,2015-07-13
20150714,764562068,372130108,392431960,1743169,1256533,486636,0,1104251960,2015-07-14
20150715,769121915,374142700,394979215,1847097,1331341,515756,0,1105698054,2015-07-15
20150716,775135690,377574358,397561332,2026720,1466498,560222,0,1136507214,2015-07-16
20150717,778576037,377025295,401550742,2002884,1438338,564546,0,1137050178,2015-07-17
20150720,786319187,379808706,406510481,2080981,1446788,634193,0,1104432215,2015-07-20
20150721,791385870,382285474,409100396,2036826,1407194,629632,0,1109675798,2015-07-21
20150722,793859652,384349931,409509720,2071457,1414130,657327,0,1112160594,2015-07-22
20150723,798514108,386807379,411706729,2131299,1474053,657246,0,1106798125,2015-07-23
20150724,804481185,390370890,414110295,2165082,1490621,674462,0,1117092861,2015-07-24
20150727,807417033,391590466,415826567,2047436,1424697,622739,0,1119964018,2015-07-27
20150728,806340289,391434044,414906245,2132716,1492136,640580,0,1126143343,2015-07-28
20150729,798513153,387057034,411456118,1997435,1442162,555273,0,1124191960,2015-07-29
20150730,792533472,384995996,407537476,2030250,1432242,598008,0,1132100658,2015-07-30
20150731,780813449,379347406,401466044,1975312,1359053,616259,0,1127997971,2015-07-31
20150803,765377012,372480648,392896365,1952545,1375546,576998,0,1116135358,2015-08-03
20150804,756514414,366937862,389576551,2009354,1402130,607224,0,1108127992,2015-08-04
20150805,753630707,365268556,388362150,1881535,1292003,589532,0,1110771799,2015-08-05
20150806,752320295,364688275,387632020,2117561,1482349,635212,0,1117401543,2015-08-06
20150807,757234142,366202533,391031609,2251425,1582866,668559,0,1112709031,2015-08-07
20150810,762134242,368553475,393580767,2272139,1603831,668308,0,1120056876,2015-08-10
20150811,764962781,369202873,395759908,2147127,1528161,618966,0,1121020433,2015-08-11
20150812,767857195,370413130,397444065,2073327,1449440,623887,0,1123455065,2015-08-12
20150813,763024342,367258283,395766058,2069408,1433798,635610,0,1118646876,2015-08-13
20150817,749604268,361335766,388268501,1775680,1296730,478950,0,1116224035,2015-08-17
20150818,749348473,360967672,388380801,1980958,1503642,477316,0,1108825700,2015-08-18
20150819,747379611,360443035,386936576,2050321,1538757,511564,0,1113502811,2015-08-19
20150820,736370786,355069043,381301743,1896376,1439090,457286,0,1108579978,2015-08-20
20150821,718359390,345718756,372640634,1730092,1343087,387005,0,1100026026,2015-08-21
20150824,703256309,340292997,362963312,1825462,1390755,434706,0,1091670609,2015-08-24
20150825,662127398,320650387,341477012,1742615,1329900,412715,0,1066396351,2015-08-25
20150826,643262728,313788305,329474423,1644571,1172230,472342,0,1055289233,2015-08-26
20150827,642551879,317304152,325247726,1897737,1402428,495309,0,1049221670,2015-08-27
20150828,641606937,315624602,325982335,2090646,1531618,559028,0,1050410653,2015-08-28
20150831,643675589,317291125,326384464,2216957,1625435,591522,0,1051123513,2015-08-31
20150901,647566696,319252130,328314566,2339864,1748826,591038,0,1050259768,2015-09-01
20150902,648062210,317946155,330116055,2290893,1675824,615069,0,1051884199,2015-09-02
20150903,651240996,321292309,329948688,2106240,1543303,562938,0,1054283297,2015-09-03
20150904,655106940,322686189,332420751,2074093,1540800,533293,0,1055518456,2015-09-04
20150907,657097308,324759963,332337346,2068536,1498337,570199,0,1055993227,2015-09-07
20150908,650654056,322092821,328561235,1943162,1441216,501946,0,1074742966,2015-09-08
20150909,647060892,320879718,326181174,1879339,1396865,482474,0,1072377440,2015-09-09
20150910,643981687,319632262,324349425,1888262,1423588,464673,0,1056450397,2015-09-10
