Date,volatility,momentum,price_strength,volume,breadth,sentiment_index,grade
2016-03-07,,,,,,,극도의 탐욕
2016-03-08,,,,,,,극도의 탐욕
2016-03-09,,,,,,,극도의 탐욕
2016-03-10,,,,,,,극도의 탐욕
2016-03-11,,,,,,,극도의 탐욕
2016-03-14,,,,,,,극도의 탐욕
2016-03-15,,,,,,,극도의 탐욕
2016-03-16,,,,,,,극도의 탐욕
2016-03-17,,,,,,,극도의 탐욕
2016-03-18,,,,,,,극도의 탐욕
2016-03-21,,,,,,,극도의 탐욕
2016-03-22,,,,,,,극도의 탐욕
2016-03-23,,,,,,,극도의 탐욕
2016-03-24,,,,,67.00962520375786,,극도의 탐욕
2016-03-25,,,,,65.30204290312594,,극도의 탐욕
2016-03-28,,,,,74.5153269581251,,극도의 탐욕
2016-03-29,,,,,76.2841286032602,,극도의 탐욕
2016-03-30,,,,,73.2135145872558,,극도의 탐욕
2016-03-31,,,,,66.3193776511286,,극도의 탐욕
2016-04-01,,,,37.927202523896966,50.67493481355472,,극도의 탐욕
2016-04-04,,,,35.96611108762932,54.52715630626094,,극도의 탐욕
2016-04-05,,,,35.22437340537296,44.5076666060175,,극도의 탐욕
2016-04-06,,,,34.81298114339831,42.15084566316706,,극도의 탐욕
2016-04-07,,,,37.70880842464357,41.28836932553989,,극도의 탐욕
2016-04-08,,,,37.06508615958731,41.494600583910795,,극도의 탐욕
2016-04-11,,,,37.44027428237954,36.61128549511113,,극도의 탐욕
2016-04-12,,,,36.95727231556339,43.61108850549769,,극도의 탐욕
2016-04-14,,,,39.35031328403105,61.224360997159984,,극도의 탐욕
2016-04-15,,,,35.038617620107345,61.6585575245531,,극도의 탐욕
2016-04-18,,,,33.301722775406986,59.70330702424902,,극도의 탐욕
2016-04-19,,,,33.37939845899117,56.48912011310382,,극도의 탐욕
2016-04-20,,,,34.30084516784471,51.47538295139065,,극도의 탐욕
2016-04-21,,,,31.280327515621636,59.72004252518605,,극도의 탐욕
2016-04-22,,,,35.65057634752719,67.56030636153238,,극도의 탐욕
2016-04-25,,,,38.22879047887373,65.48304297846933,,극도의 탐욕
2016-04-26,,,,40.980178904148865,77.41684227122286,,극도의 탐욕
2016-04-27,,,,40.34809129519705,72.1730448515632,,극도의 탐욕
2016-04-28,,,,38.88165243966697,62.14736172499644,,극도의 탐욕
2016-04-29,,,,35.62843586045442,59.50617439529363,,극도의 탐욕
2016-05-02,,,,33.84411796933606,52.9794829217576,,극도의 탐욕
2016-05-03,,,,27.54796391993144,51.990335194250754,,극도의 탐욕
2016-05-04,,,,25.62438093294734,30.95373875598881,,극도의 탐욕
2016-05-09,,,,25.780907228263878,28.80515732124691,,극도의 탐욕
2016-05-10,,,,25.176432182604618,38.89074122223412,,극도의 탐욕
2016-05-11,,,,27.608637742431668,36.959767469334714,,극도의 탐욕
2016-05-12,,,,32.14310004760934,37.88267076978322,,극도의 탐욕
2016-05-13,,,,36.37893362131752,25.21359872538028,,극도의 탐욕
2016-05-16,,,,42.05357217107834,27.44595187312447,,극도의 탐욕
